"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO";"NM_TIPO_DESTINACAO_VOTOS"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";43;"PV";"PARTIDO VERDE";-1;"#NULO#";"#NULO#";"#NULO#";40000000786;"MOVIMENTO PELA RECONSTRUÇÃO DO AMAZONAS";"PDT / DEM / PV / PSDB / PSD / PRB / PSC";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";65;"PC do B";"PARTIDO COMUNISTA DO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";40000000045;"#NULO#";"PC do B";"A";"AGUARDANDO JULGAMENTO";"#NE"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";-1;"#NULO#";"#NULO#";"#NULO#";40000000049;"Fazendo Mais Por Nossa Gente";"PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PATRIOTA / PSD / SD / PT do B";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";11;"PP";"PARTIDO PROGRESSISTA";-1;"#NULO#";"#NULO#";"#NULO#";40000000788;"CORAGEM PARA RENOVAR";"PP / PODE / PT do B";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"PARTIDO ISOLADO";13;"PT";"PARTIDO DOS TRABALHADORES";-1;"#NULO#";"#NULO#";"#NULO#";40000000781;"#NULO#";"PT";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";5;"SENADOR";"COLIGAÇÃO";22;"PR";"PARTIDO DA REPÚBLICA";-1;"#NULO#";"#NULO#";"#NULO#";40000000049;"Fazendo Mais Por Nossa Gente";"PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PATRIOTA / PSD / SD / PT do B";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"COLIGAÇÃO";70;"PT do B";"PARTIDO TRABALHISTA DO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";40000000053;"FAZENDO MAIS POR NOSSA GENTE III";"PR / PT do B / PSL / SD / PRP";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";55;"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";-1;"#NULO#";"#NULO#";"#NULO#";40000000786;"MOVIMENTO PELA RECONSTRUÇÃO DO AMAZONAS";"PDT / DEM / PV / PSDB / PSD / PRB / PSC";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";70;"PT do B";"PARTIDO TRABALHISTA DO BRASIL";-1;"#NULO#";"#NULO#";"#NULO#";40000000788;"CORAGEM PARA RENOVAR";"PP / PODE / PT do B";"D";"DEFERIDO";"#NE"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"PARTIDO ISOLADO";21;"PCB";"PARTIDO COMUNISTA BRASILEIRO";-1;"#NULO#";"#NULO#";"#NULO#";40000000041;"#NULO#";"PCB";"A";"AGUARDANDO JULGAMENTO";"#NE"
"28/02/2023";"15:42:10";2014;1;"ELEIÇÃO SUPLEMENTAR";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";-1;"#NULO#";"#NULO#";"#NULO#";40000000786;"MOVIMENTO PELA RECONSTRUÇÃO DO AMAZONAS";"PDT / DEM / PV / PSDB / PSD / PRB / PSC";"D";"DEFERIDO";"Válido"
"28/02/2023";"15:42:10";2014;2;"ELEIÇÃO ORDINÁRIA";1;143;"Eleições Gerais 2014";"05/10/2014";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"COLIGAÇÃO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";-1;"#NULO#";"#NULO#";"#NULO#";40000000022;"RENOVAÇÃO E EXPERIÊNCIA";"PMDB / PP / PT / PDT / PTB / PPS / PRB / PSDC / PPL / PC do B";"D";"DEFERIDO";"#NE"
