"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";2;298;"Eleições Gerais Estaduais 2018";"28/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";59;3;"Governador";97825;257;6;0;263;85668;0;12157;"N";85668;78508;78508;78508;0;0;0;0;0;0;0;0;0;1050;6110;6110;0;0;"21:05:21";"28/10/2018"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";2;298;"Eleições Gerais Estaduais 2018";"28/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";62;3;"Governador";120071;303;5;0;308;102404;0;17667;"N";102404;94822;94822;94822;0;0;0;0;0;0;0;0;0;1221;6361;6361;0;0;"21:05:21";"28/10/2018"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98477";"TABATINGA";36;6;"Deputado Federal";33165;89;3;0;92;25410;0;7755;"N";25410;23831;23831;22204;1627;1627;0;0;0;0;0;0;0;785;794;794;0;0;"20:00:10";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98515";"TONANTINS";47;7;"Deputado Estadual";9223;26;3;0;29;6851;0;2372;"N";6851;6613;6613;6257;356;356;0;0;0;0;0;0;0;116;122;122;0;0;"20:00:42";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02933";"ANAMÃ";6;5;"Senador";7457;20;2;0;22;5559;0;1898;"N";11118;10113;10113;10113;0;0;0;0;0;0;0;0;0;248;757;757;0;0;"20:00:23";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";67;5;"Senador";10679;27;16;0;43;6979;0;3700;"N";13958;11897;11897;11897;0;0;0;0;0;0;0;0;0;746;1315;1315;0;0;"20:00:30";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02151";"BOCA DO ACRE";14;3;"Governador";20963;67;2;0;69;14756;0;6207;"N";14756;12610;12610;12610;0;0;0;0;0;0;0;0;0;374;1772;1772;0;0;"20:00:13";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02151";"BOCA DO ACRE";14;5;"Senador";20963;67;2;0;69;14756;0;6207;"N";29512;24096;24096;24096;0;0;0;0;0;0;0;0;0;1660;3756;3756;0;0;"20:00:13";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02194";"CANUTAMA";13;3;"Governador";8361;29;1;0;30;5611;0;2750;"N";5611;5023;5023;5023;0;0;0;0;0;0;0;0;0;71;517;517;0;0;"20:00:31";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02232";"CAREIRO";23;5;"Senador";21036;73;10;0;83;16172;0;4864;"N";32344;28269;28269;28269;0;0;0;0;0;0;0;0;0;948;3127;3127;0;0;"20:00:30";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02470";"JURUÁ";50;3;"Governador";7119;25;5;0;30;4433;0;2686;"N";4433;4016;4016;4016;0;0;0;0;0;0;0;0;0;43;374;374;0;0;"20:00:06";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";58;5;"Senador";112068;287;1;0;288;97706;0;14362;"N";195412;155889;155889;155889;0;0;0;0;0;0;0;0;0;14225;25298;25298;0;0;"20:00:33";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02674";"NOVO ARIPUANÃ";29;6;"Deputado Federal";12334;36;4;0;40;8245;0;4089;"N";8245;7836;7836;7442;394;394;0;0;0;0;0;0;0;202;207;207;0;0;"20:00:16";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02690";"PARINTINS";4;3;"Governador";68205;218;17;0;235;51549;0;16656;"N";51549;47979;47979;47979;0;0;0;0;0;0;0;0;0;745;2825;2825;0;0;"20:00:26";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02771";"SILVES";24;5;"Senador";7167;22;2;0;24;5607;0;1560;"N";11214;9923;9923;9923;0;0;0;0;0;0;0;0;0;404;887;887;0;0;"20:00:17";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";2;298;"Eleições Gerais Estaduais 2018";"28/10/2018";"E";"AM";"AM";"AMAZONAS";"02933";"ANAMÃ";6;3;"Governador";7457;20;2;0;22;6196;0;1261;"N";6196;5964;5964;5964;0;0;0;0;0;0;0;0;0;14;218;218;0;0;"18:33:26";"28/10/2018"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98396";"MANAQUIRI";23;3;"Governador";13161;38;3;0;41;9804;0;3357;"N";9804;8957;8957;8957;0;0;0;0;0;0;0;0;0;92;755;755;0;0;"20:00:11";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98396";"MANAQUIRI";23;7;"Deputado Estadual";13161;38;3;0;41;9804;0;3357;"N";9804;9449;9449;8804;645;645;0;0;0;0;0;0;0;105;250;250;0;0;"20:00:11";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02976";"BOA VISTA DO RAMOS";5;6;"Deputado Federal";10834;32;2;0;34;7996;0;2838;"N";7996;7731;7731;7325;406;406;0;0;0;0;0;0;0;113;152;152;0;0;"20:00:21";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02038";"ANORI";33;7;"Deputado Estadual";9719;27;1;0;28;7268;0;2451;"N";7268;7064;7064;6730;334;334;0;0;0;0;0;0;0;68;136;136;0;0;"20:00:00";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02372";"SANTA ISABEL DO RIO NEGRO";30;7;"Deputado Estadual";7951;23;1;0;24;4557;0;3394;"N";4557;2963;2963;2643;320;320;0;0;0;0;0;0;0;106;1488;1488;0;0;"20:00:32";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";37;5;"Senador";90663;246;12;0;258;80340;0;10323;"N";160680;130277;130277;130277;0;0;0;0;0;0;0;0;0;10678;19725;19725;0;0;"20:00:33";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";59;6;"Deputado Federal";97822;257;6;0;263;85941;0;11881;"N";85941;74131;74131;69809;4322;4322;0;0;0;0;0;0;0;4906;6904;6904;0;0;"20:00:33";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02615";"MAUÉS";5;3;"Governador";30937;94;15;0;109;21961;0;8976;"N";21961;20337;20337;20337;0;0;0;0;0;0;0;0;0;218;1406;1406;0;0;"20:00:25";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02674";"NOVO ARIPUANÃ";29;3;"Governador";12334;36;4;0;40;8245;0;4089;"N";8245;7515;7515;7515;0;0;0;0;0;0;0;0;0;94;636;636;0;0;"20:00:16";"19/04/2021"
"13/11/2024";"10:56:19";2018;2;"Eleição Ordinária";1;297;"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02810";"TEFÉ";9;3;"Governador";40950;128;11;0;139;30113;0;10837;"N";30113;27537;27537;27537;0;0;0;0;0;0;0;0;0;505;2071;2071;0;0;"20:00:21";"19/04/2021"
