"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02674";"NOVO ARIPUANÃ";29;3;"Governador";11936;36;4;0;40;6906;0;5030;"N";6906;6525;6525;6525;0;0;0;0;0;0;0;0;0;118;263;263;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02534";"MANACAPURU";6;3;"Governador";62740;195;15;0;210;46778;0;15962;"N";46778;43841;43841;43841;0;0;0;0;0;0;0;0;0;752;2185;2185;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";1;268;"Eleição Suplementar Governador AM";"06/08/2017";"E";"AM";"AM";"AMAZONAS";"02038";"ANORI";33;3;"Governador";9567;27;0;0;27;6197;0;3370;"N";6197;6001;6001;6001;0;0;0;0;0;0;0;0;0;64;132;132;0;0;"00:00:00";"06/08/2017"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";31;3;"Governador";73966;192;39;0;231;62602;0;11364;"N";62602;41280;41280;41280;0;0;0;0;0;0;0;0;0;3049;18273;18273;0;0;"00:00:00";"27/08/2017"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02836";"SÃO GABRIEL DA CACHOEIRA";19;6;"Deputado Federal";26780;84;5;0;89;18570;0;8210;"N";18570;16940;16940;16940;1123;0;0;0;0;0;0;0;0;378;129;129;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02097";"BARCELOS";18;7;"Deputado Estadual";9227;26;1;0;27;6065;0;3162;"N";6065;5334;5334;5334;450;0;0;0;0;0;0;0;0;94;187;187;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02437";"ITAPIRANGA";24;7;"Deputado Estadual";6666;21;0;0;21;5215;0;1451;"N";5215;4856;4856;4856;266;0;0;0;0;0;0;0;0;45;48;48;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02976";"BOA VISTA DO RAMOS";64;3;"Governador";9572;28;2;0;30;6789;0;2783;"N";6789;6353;6353;6353;0;0;0;0;0;0;0;0;0;26;410;410;0;0;"00:00:00";"05/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02992";"CAAPIRANGA";55;5;"Senador";7237;21;0;0;21;5327;0;1910;"N";5327;4951;4951;4951;0;0;0;0;0;0;0;0;0;84;292;292;0;0;"00:00:00";"05/10/2014"
"28/05/2021";"11:14:01";2014;1;"Eleição Extraordinária";2;269;"Eleição Suplementar Governador AM";"27/08/2017";"E";"AM";"AM";"AMAZONAS";"02755";"SÃO PAULO DE OLIVENÇA";22;3;"Governador";16030;45;8;0;53;11898;0;4132;"N";11898;11298;11298;11298;0;0;0;0;0;0;0;0;0;177;423;423;0;0;"00:00:00";"27/08/2017"
