UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;168;0,7602;53;221;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;117;0,7647;36;153;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;280;0,8235;60;340;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;LÊ E ESCREVE;8;0,8889;1;9;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;SUPERIOR INCOMPLETO;15;0,75;5;20;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ANALFABETO;7;0,5;7;14;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;11;0,7333;4;15;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;146;0,6728;71;217;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;89;0,7607;28;117;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;220;0,7801;62;282;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;LÊ E ESCREVE;10;0,625;6;16;2025-04-29 22:31:40
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;14;0,6667;7;21;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ANALFABETO;4;0,8;1;5;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;25;0,8621;4;29;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;162;0,7941;42;204;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;240;0,8541;41;281;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;135;0,767;41;176;2025-04-29 22:31:40
